House,1,2,3,4,5,6,7,8,9,10,11,12
Adams,20,15,24,38,37,44,67,75,74,28,32,80
Cabot,5,13,16,17,7,20,16,31,49,118,148,94
Kirkland,19,19,35,50,71,63,72,70,56,24,24,31
Mather,17,15,19,25,27,40,44,67,112,37,55,76
Quincy,28,43,55,90,71,82,65,44,21,17,14,4
Leverett,11,22,40,73,76,81,94,66,36,18,11,6
Dunster,45,67,113,56,70,42,44,52,19,10,11,5
Currier,14,10,16,15,18,19,20,23,43,92,114,150
Eliot,37,57,60,67,57,76,49,40,38,23,16,14
Lowell,152,106,63,51,45,35,22,24,14,5,7,10
Pforzheimer,10,21,15,6,16,19,29,33,66,158,98,63
Winthrop,176,146,78,46,39,13,12,9,6,4,4,1